,char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
98,http://www.wikidata.org/entity/Q3139793,PurpleMan,ZebediahKillgrave,"mutate, comics character",Marvel Universe,,"mind control, healing factor",,,,
99,http://www.wikidata.org/entity/Q3525849,Thornn,LuciaCallasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
100,http://www.wikidata.org/entity/Q841372,Juggernaut,CainMarko,"superhero film character, CGI character, animated character, mutate, comics character","Earth-616, Marvel Universe",,"superhuman durability, immortality, superhuman strength",,,,
101,http://www.wikidata.org/entity/Q431862,Sabretooth,VictorCreed,"superhero film character, animated character, comics character, mutant",Marvel Universe,,"enhanced smell, superhuman longevity, superhuman senses, superhuman durability, superhuman strength, healing factor",,,,
102,http://www.wikidata.org/entity/Q2095786,Spider-Woman,MarthaFranklin,"mutate, comics character",Marvel Universe,,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, telepathy",,,,
103,http://www.wikidata.org/entity/Q2297886,Electro,MaxwellDillon,"superhero film character, animated character, mutate, comics character","Earth-616, Marvel Universe",,electrokinesis,,,,
104,http://www.wikidata.org/entity/Q973050,BetsyBraddock,ElizabethBraddock,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"precognition, psychokinesis, telepathy",,,,
105,http://www.wikidata.org/entity/Q632212,Storm,OroroMunroe,"anime character, superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,weather manipulation,,,,
106,http://www.wikidata.org/entity/Q2071256,Polaris,LornaDane,"television character, animated character, mutant","Earth-616, Marvel Universe",,magnetism manipulation,,,,
107,http://www.wikidata.org/entity/Q923391,Ezekiel,EzekielSims,"mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
108,http://www.wikidata.org/entity/Q258015,RachelSummers,RachelAnneSummers,mutant,"Earth-811, Earth-616, Marvel Universe",,"psychokinesis, telepathy",,,,
109,http://www.wikidata.org/entity/Q838076,ProfessorX,CharlesFrancisXavier,"superhero film character, mutant","Earth-616, Marvel Universe",,"memory manipulation, telepathy",,,,
110,http://www.wikidata.org/entity/Q2624716,FranklinRichards,FranklinBenjaminRichards,mutate,"Earth-616, Marvel Universe",,"energy manipulation, reality warping, teleportation, mind control, immortality, invulnerability, astral projection, precognition, resurrection, psychokinesis, time travel, telepathy",,,,
111,http://www.wikidata.org/entity/Q20979395,Spider-Woman,GwendolyneMaxineStacy,"animated character, mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
112,http://www.wikidata.org/entity/Q849486,Havok,AlexanderSummers,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",Honolulu,energy blasts,Catholicism,male,"superhero, government agent","Starjammers, X-Men, Avengers, Brotherhood of Mutants, Defenders, X-Factor"
113,http://www.wikidata.org/entity/Q60002,Colossus,ÐÑÑÑÐÐ¸ÐºÐ¾Ð»Ð°ÐµÐ²Ð¸ÑÐ Ð°ÑÐ¿ÑÑÐ¸Ð½,"superhero film character, CGI character, animated character, mutant","Earth-616, Marvel Universe",,"inorganic, superhuman durability, superhuman strength",,,,
114,http://www.wikidata.org/entity/Q2569703,StrongGuy,GuidoCarosella,"animated character, mutant",Marvel Universe,,kinetic absorption,,,,
115,http://www.wikidata.org/entity/Q1631090,Deadpool,WadeWinstonWilson,"fictional soldier, superhero film character, animated character, mutate, supersoldier, video game character, comics character",Marvel Universe,,healing factor,,,,
116,http://www.wikidata.org/entity/Q3020765,Deathbird,Cal'syeeNeramani,"mutant, Shi'ar","Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
117,http://www.wikidata.org/entity/Q60146,Abomination,EmilBlonsky,"gamma mutate, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
118,http://www.wikidata.org/entity/Q4003156,UltimateColossus,ÐÑÑÑÐÐ¸ÐºÐ¾Ð»Ð°ÐµÐ²Ð¸ÑÐ Ð°ÑÐ¿ÑÑÐ¸Ð½,"comics character, mutant",Marvel Universe,,"superhuman endurance, inorganic, superhuman durability, superhuman strength",,,,
119,http://www.wikidata.org/entity/Q837133,Meggan,MegganPuceanu,mutant,"Earth-616, Marvel Universe",,"flight, power mimicry or absorption, shapeshifting, superhuman strength",,,,
120,http://www.wikidata.org/entity/Q601199,Sunspot,RobertodaCosta,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, superhuman strength, photokinesis, thermokinesis",,,,
121,http://www.wikidata.org/entity/Q744104,Sasquatch,WalterLangkowski,"mutate, comics character",Marvel Universe,,"superhuman durability, superhuman strength, healing factor",,,,
122,http://www.wikidata.org/entity/Q3109652,Holocaust,WilliamRolfson,mutant,Marvel Universe,,"energy blasts, flight, superhuman agility / reflexes, superhuman durability, superhuman strength",,,,
123,http://www.wikidata.org/entity/Q3481293,Shaman,MichaelTwoyoungmen,"fictional human, comics character","Earth-616, Marvel Universe",,levitation,,,,
